Where are hiking maps in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('information','map'),keyval('hiking','yes')),qtype(latlong))
Where are hiking maps in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('information','map'),keyval('hiking','yes')),qtype(latlong))
Where are hospitals in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','hospital')),qtype(latlong))
Where are hospitals in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','hospital')),qtype(latlong))
Where are information maps in Paris?	query(area(keyval('name','Paris')),nwr(keyval('information','map')),qtype(latlong))
Where are kindergartens in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Hamburg?	query(area(keyval('name','Hamburg')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are murals in Deutschland?	query(area(keyval('name','Deutschland')),nwr(keyval('artwork_type','mural')),qtype(latlong))
Where are museums in Paris?	query(area(keyval('name','Paris')),nwr(keyval('tourism','museum')),qtype(latlong))
Where are museums that I can visit with a wheelchair in Paris?	query(area(keyval('name','Paris')),nwr(keyval('tourism','museum'),keyval('wheelchair','yes')),qtype(latlong))
Where are peaks in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('natural','peak')),qtype(latlong))
Where are peaks in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('natural','peak')),qtype(latlong))
Where are piers in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are piers in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are piers in Paris?	query(area(keyval('name','Paris')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are places in which taxis wait in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are places in which taxis wait in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are places in which taxis wait in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are playgrounds in York?	query(area(keyval('name','York')),nwr(keyval('leisure','playground')),qtype(latlong))
Where are post offices in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Toulouse?	query(area(keyval('name','Toulouse')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are quarries in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('landuse','quarry')),qtype(latlong))
Where are quarries in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('landuse','quarry')),qtype(latlong))
Where are schools in Bielefeld?	query(area(keyval('name','Bielefeld')),nwr(keyval('amenity','school')),qtype(latlong))
Where are subway stations in Île-de-France?	query(area(keyval('name','Île-de-France')),nwr(keyval('station','subway')),qtype(latlong))
Where are supermarkets in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are supermarkets in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are supermarkets in Paris?	query(area(keyval('name','Paris')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are the Stolpersteine in Pinneberg?	query(area(keyval('name','Pinneberg')),nwr(keyval('memorial:type','stolperstein')),qtype(latlong))
Where are the closest bank and the closest pharmacy from the Rue Lauriston in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Rue Lauriston'))),search(nwr(and(keyval('amenity','bank'),keyval('amenity','pharmacy')))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are the closest bank and the closest pharmacy from the Yorckstraße in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('name','Yorckstraße'))),search(nwr(and(keyval('amenity','bank'),keyval('amenity','pharmacy')))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are the closest public bathrooms from Gare du Nord in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Gare du Nord'),keyval('railway','station'))),search(nwr(keyval('amenity','toilets'))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are tombs in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('historic','tomb')),qtype(latlong))
Where are tombs in Paris?	query(area(keyval('name','Paris')),nwr(keyval('historic','tomb')),qtype(latlong))
Where are water towers in Vendée?	query(area(keyval('name','Vendée')),nwr(keyval('man_made','water_tower')),qtype(latlong))
